# MIDI File: MIDI-Viva la vida.mid
# Tempo: 120.0 BPM
# Duration: 262.77 seconds
# Total Notes: 2579
# Tracks: 2

# Format: TIME_SEC | NOTE | DURATION | VELOCITY
# ==================================================

  49.500 | G#3  | 0.236s | vel= 80
  49.500 | D#3  | 0.236s | vel= 80
  49.750 | A#4  | 0.236s | vel= 80
  50.000 | G#4  | 0.236s | vel= 80
  50.000 | C4   | 0.236s | vel= 80
  50.000 | G#3  | 0.236s | vel= 80
  50.000 | D#3  | 0.236s | vel= 80
  50.250 | A#4  | 0.236s | vel= 80
  50.500 | A#4  | 0.236s | vel= 80
  50.500 | C4   | 0.236s | vel= 80
  50.500 | G#3  | 0.236s | vel= 80
  50.500 | D#3  | 0.236s | vel= 80
  50.750 | C5   | 0.236s | vel= 80
  50.750 | C4   | 0.236s | vel= 80
  50.750 | G#3  | 0.236s | vel= 80
  50.750 | F3   | 0.236s | vel= 80
  51.000 | G#4  | 0.474s | vel= 80
  51.500 | G4   | 0.236s | vel= 80
  51.500 | C4   | 0.236s | vel= 80
  51.500 | G#3  | 0.236s | vel= 80
  51.500 | F3   | 0.711s | vel= 80
  51.750 | F4   | 0.474s | vel= 80
  51.750 | C4   | 0.236s | vel= 80
  51.750 | G#3  | 0.236s | vel= 80
  52.000 | C5   | 0.236s | vel= 80
  52.000 | C4   | 0.236s | vel= 80
  52.000 | G#3  | 0.236s | vel= 80
  52.250 | C5   | 0.236s | vel= 80
  52.500 | C5   | 0.236s | vel= 80
  52.500 | C4   | 0.236s | vel= 80
  52.500 | G#3  | 0.236s | vel= 80
  52.500 | F3   | 0.236s | vel= 80
  52.750 | C5   | 0.236s | vel= 80
  53.000 | C5   | 0.949s | vel= 80
  53.000 | C#4  | 0.236s | vel= 80
  53.000 | G#3  | 0.236s | vel= 80
  53.000 | C#3  | 0.236s | vel= 80
  53.500 | C#4  | 0.236s | vel= 80
  53.500 | G#3  | 0.236s | vel= 80
  53.500 | C#3  | 0.236s | vel= 80
  54.000 | C#4  | 0.236s | vel= 80
  54.000 | G#3  | 0.236s | vel= 80
  54.000 | C#3  | 0.236s | vel= 80
  54.250 | C#5  | 0.474s | vel= 80
  54.500 | C#4  | 0.236s | vel= 80
  54.500 | G#3  | 0.236s | vel= 80
  54.500 | C#3  | 0.236s | vel= 80
  54.750 | A#4  | 1.661s | vel= 80
  54.750 | D#4  | 0.236s | vel= 80
  54.750 | A#3  | 0.236s | vel= 80
  54.750 | D#3  | 0.236s | vel= 80
